cluster,crimehead
2,Others
2,Other Items Not Included Above
2,Husband And Relative(S) In Law
2,Due To Other Causes
2,Other Elected Bodies
2,Other Places
2,Mmdr (Mines & Minerals Regulation Development) Act 1957
2,Rape
2,Other Forgery
2,Scheduled Caste  Women
2,At Commercial Places / Establishments
2,Sudden Quarrel
2,Forgery
2,others
2,Machinery - Related
2,Of Cattle
2,Due To Sexual Jealousy
2,Attempting to commit offences
2,Land Disputes
2,Husband
2,Communication And Elec.Wire
2,Explosives Substances Act 1908
2,"Electronic Goods (Radio,TV,VCR,ACs,Office Automation Equipments)"
2,Attempt To Commit
2,Boy
2,At Residential Premises
2,Essential Commodites Act 1955
2,Due To OtherCauses
2,In Other Places
2,Karnataka Private Medical Institution Act 2007
2,Civil Disputes
2,Public Place
2,Police Personnel
2,Dowry Prohibition
2,Scheduled Caste
2,Betting
2,Grievous  Hurt
2,Electrocution
2,Communal Issue
2,Girl
2,By Other Means
2,Criminal Breach Of Trust
2,Political
2,Revenge/Enemity
2,Other Govt Official
2,Assembly
2,For Ransom - Of Children
2,PREVENTION OF DAMAGE TO PUBLIC PROPERTY
2,Of Sand
2,Of Cultural - Idols
2,Prevention Of Cruelty To Animals Act 1960
2,Over Property Disputes
2,Missing-Girl
2,Mischief
2,Parliament
2,House
2,Death Due To Other Cause
2,Temple Theft
2,Of Accessories Of Motor Vehicle
2,Other Reasons
2,Jewellery
2,Scheduled Tribes Women
2,Scheduled Tribes
2,Cultivated/Processed
2,Due To Casteism
2,Warehouse(Godown)
2,Child Marriage (Restraint) Act  1929
2,Synthetic
2,Missing-Boy
2,Attempt to commit suicide
2,Known Person
2,Related To Substantive Offence
2,Ancient Monument & Archaelogical Sites And Remains Act 1958
2,Agricultural Produce
2,Other - Related
2,Cash
2,Labour - Public Sector
2,Other Local Acts
2,Private Place
2,By Husband And Relative/s In Law
2,By Neighbours
2,Of Automobiles - Of Tractors
2,Dowry Harasement
2,Abetment of Suicide
2,Explosives Act 1884
2,Wrongful Confinement
2,"Preventive Arrest (Sec 41 Class D,102)"
2,Wild Life Protection Act 1972
2,Forest (Conservation) Act 1980
2,Regional
2,Attempt to Commit
2,Religious Issue
2,Relative(S) In Law
2,Affray
2,Land
2,Electoral Gain
2,By Husband
2,Printed Matter
2,At Banks
2,Due To Personal Vendetta Or Enemity
2,Unknown Person
2,For Human Sacrifice
2,Karntaka Epidemic Diseases Act 2020
2,Mine Accident
2,Electrocution Accident
2,For Ransom - Of Others
2,House Theft
2,Karnataka Open Place Disfigurement Act 1951
2,The Karnataka Prevention of  Slaughter and Preservation of Cattle Ordinance 2020
2,Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020
2,"COTPA, Cigarettes and Other Tobacco Products"
2,Karnataka Money Lender Act 1961
2,Bank
2,Of Cultural - Others
2,Students
2,Of Automobiles - Of Lorries/Trucks
2,Karnataka Forest Act 1963
2,Karnataka Mining Act
2,Karnataka Education Act 1983 As Amended Upto Date
